LTP
-1.0
-1.0
-1.0
-0.99
-0.98
-0.97
-0.96
-0.94
-0.91
-0.89
-0.86
-0.83
-0.79
-0.76
-0.72
-0.68
-0.65
-0.61
-0.57
-0.52
-0.48
-0.44
-0.4
-0.35
-0.31
-0.27
-0.22
-0.18
-0.14
-0.1
-0.07
-0.03
-0.0
0.03
0.07
0.1
0.13
0.17
0.2
0.24
0.28
0.32
0.35
0.39
0.43
0.47
0.51
0.55
0.59
0.63
0.66
0.7
0.73
0.76
0.79
0.81
0.84
0.87
0.89
0.92
0.94
0.96
0.98
1.0
